name	parent	fio	post
ТИК № 10	Санкт-Петербургская избирательная комиссия	Калюжнов Сергей Андрианович	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Котова Алла Геннадьевна	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Молчанов Сергей Александрович	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Морозова Юлия Мустафовна	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Немеровский Александр Геннадьевич	Член
ТИК № 10	Санкт-Петербургская избирательная комиссия	Огородников Леонид Николаевич	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Степанов Константин Геннадьевич	Председатель
ТИК № 11	Санкт-Петербургская избирательная комиссия	Книзель Светлана Геннадьевна	Зам.председателя
ТИК № 11	Санкт-Петербургская избирательная комиссия	Басин Антон Павлович	Секретарь
ТИК № 11	Санкт-Петербургская избирательная комиссия	Голубовская Мария Юрьевна	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Дмитриев Дмитрий Владимирович	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Кемаева Алиса Игоревна	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Колпаков Виталий Юрьевич	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Кузнецов Дмитрий Николаевич	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Майкова Марина Михайловна	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Молдавская Мария Давидовна	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Судьин Владимир Иванович	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Татьянин Глеб Игоревич	Член
ТИК № 11	Санкт-Петербургская избирательная комиссия	Таукенов Аслан Владимирович	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Воеводина Светлана Анатольевна	Председатель
ТИК № 12	Санкт-Петербургская избирательная комиссия	Волковский Роман Игоревич	Зам.председателя
ТИК № 12	Санкт-Петербургская избирательная комиссия	Карпеченко Наталья Юрьевна	Секретарь
ТИК № 12	Санкт-Петербургская избирательная комиссия	Власов Виталий Владимирович	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Гинковская Александра Владимировна	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Гордиенко Елена Анатольевна	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Горынцева Капиталина Никоноровна	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Дмитриева Татьяна Георгиевна	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Корольков Александр Евгеньевич	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Лазарева Наталья Васильевна	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Морозова Ксения Борисовна	Член
ТИК № 12	Санкт-Петербургская избирательная комиссия	Шестаков Михаил Сергеевич	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Закипной Дмитрий Юрьевич	Председатель
ТИК № 13	Санкт-Петербургская избирательная комиссия	Чернышев Игорь Владимирович	Зам.председателя
ТИК № 13	Санкт-Петербургская избирательная комиссия	Севалкина Яна Александровна	Секретарь
ТИК № 13	Санкт-Петербургская избирательная комиссия	Акутина Валентина Михайловна	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Дружинина Анастасия Валерьевна	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Егоров Вячеслав Юрьевич	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Кадыров Мелик Агджаевич	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Кудласевич Светлана Алексеевна	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Решетникова Юлия Олеговна	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Токарев Николай Николаевич	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Удалова Лариса Георгиевна	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Филиппова Татьяна Игоревна	Член
ТИК № 13	Санкт-Петербургская избирательная комиссия	Шушпанова Анна Юрьевна	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Абрамова Екатерина Александровна	Председатель
ТИК № 14	Санкт-Петербургская избирательная комиссия	Гусев Андрей Владимирович	Зам.председателя
ТИК № 14	Санкт-Петербургская избирательная комиссия	Бордушко Наталья Игоревна	Секретарь
ТИК № 14	Санкт-Петербургская избирательная комиссия	Афонин Владимир Рудольфович	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Марков Сергей Анатольевич	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Мкртчян Роман Эрнестович	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Морозов Лев Дмитриевич	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Остряков Дмитрий Валерьевич	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Пастухов Кирилл Юрьевич	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Русских Анна Германовна	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Сошнев Роман Константинович	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Швецов Виктор Александрович	Член
ТИК № 14	Санкт-Петербургская избирательная комиссия	Яцук Юрий Владимирович	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Климачева Ирина Сергеевна	Председатель
ТИК № 15	Санкт-Петербургская избирательная комиссия	Бесхлебная Светлана Анатольевна	Зам.председателя
ТИК № 15	Санкт-Петербургская избирательная комиссия	Бесчастная Светлана Петровна	Секретарь
ТИК № 15	Санкт-Петербургская избирательная комиссия	Абросимов Евгений Семенович	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Белобородов Станислав Геннадьевич	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Галкин Александр Сергеевич	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Дроздов Василий Викторович	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Жмаев Даниил Евгеньевич	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Карамышев Александр Павлович	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Маркова Юлия Олеговна	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Миннехаиев Талгат Муллахматович	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Рослякова Екатерина Сергеевна	Член
ТИК № 15	Санкт-Петербургская избирательная комиссия	Фролов Илья Юрьевич	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Сердюк Ольга Владимировна	Председатель
ТИК № 16	Санкт-Петербургская избирательная комиссия	Зотова Наталья Владимировна	Зам.председателя
ТИК № 16	Санкт-Петербургская избирательная комиссия	Глазырин Филипп Андреевич	Секретарь
ТИК № 16	Санкт-Петербургская избирательная комиссия	Белокопытов Олег Анатольевич	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Вепхвадзе Наталия Вениаминовна	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Дикало Карина Игоревна	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Ермоленко Татьяна Александровна	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Молодоженя Владимир Иосифович	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Наумов Дмитрий Владимирович	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Поздняков Артем Александрович	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Попова Виктория Александровна	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Рахманов Денис Вячеславович	Член
ТИК № 16	Санкт-Петербургская избирательная комиссия	Янова Ульяна Владимировна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Дёмкин Василий Георгиевич	Председатель
ТИК № 17	Санкт-Петербургская избирательная комиссия	Кругликова Ольга Юрьевна	Зам.председателя
ТИК № 17	Санкт-Петербургская избирательная комиссия	Демидова Татьяна Владимировна	Секретарь
ТИК № 17	Санкт-Петербургская избирательная комиссия	Белик Александр Николаевич	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Виноградова Александра Евгеньевна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Касаткин Иван Михайлович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Колпаков Михаил Иванович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Маякова Татьяна Александровна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Панов Глеб Борисович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Пашков Николай Михайлович	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Петренко Анатолий Васильевич	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Тюльпанова Кристина Борисовна	Член
ТИК № 17	Санкт-Петербургская избирательная комиссия	Ухтомский Антон Олегович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Алексеев Вячеслав Евгеньевич	Председатель
ТИК № 18	Санкт-Петербургская избирательная комиссия	Дятлов Виталий Олегович	Зам.председателя
ТИК № 18	Санкт-Петербургская избирательная комиссия	Чиканчи Елена Анатольевна	Секретарь
ТИК № 18	Санкт-Петербургская избирательная комиссия	Абдулкеримов Рамис Агарагимович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Безруков Вячеслав Алексеевич	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Беленович Олег Вениаминович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Белова Юлия Викторовна	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Васильева Дарья Викторовна	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Добряков Алексей Борисович	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Зорина Мария Игоревна	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Зотов Кирилл Витальевич	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Идрисов Динар Равильевич	Член
ТИК № 18	Санкт-Петербургская избирательная комиссия	Тихомирова Анна Сергеевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Козлов Дмитрий Николаевич	Председатель
ТИК № 19	Санкт-Петербургская избирательная комиссия	Попов Андрей Игоревич	Зам.председателя
ТИК № 19	Санкт-Петербургская избирательная комиссия	Шмидт Диана Анатольевна	Секретарь
ТИК № 19	Санкт-Петербургская избирательная комиссия	Алиева Ольга Игоревна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Бендак Наталья Сергеевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Бузмаков Вадим Вачеславович	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Лаврентьев Николай Владимирович	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Меньшенин Роман Анатольевич	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Паршута Анастасия Александровна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Попов Сергей Алексеевич	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Титор Олеся Юрьевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Чекмарева Анна Анатольевна	Член
ТИК № 19	Санкт-Петербургская избирательная комиссия	Черный Даниил Максимович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Иванова Анастасия Геннадьевна	Председатель
ТИК № 20	Санкт-Петербургская избирательная комиссия	Орлова Алёна Сергеевна	Зам.председателя
ТИК № 20	Санкт-Петербургская избирательная комиссия	Киселева Екатерина Николаевна	Секретарь
ТИК № 20	Санкт-Петербургская избирательная комиссия	Алексеев Дмитрий Александрович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Белянкина Екатерина Павловна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Березкина Ирина Викторовна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Данилова Любовь Анатольевна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Лиманская Ирина Григорьевна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Порталенко Игорь Николаевич	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Румянцев Сергей Александрович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Татарикова Софья Михайловна	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Терехов Михаил Владимирович	Член
ТИК № 20	Санкт-Петербургская избирательная комиссия	Юраков Николай Васильевич	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Токарев Евгений Вадимович	Председатель
ТИК № 21	Санкт-Петербургская избирательная комиссия	Девяткин Владимир Алексеевич	Зам.председателя
ТИК № 21	Санкт-Петербургская избирательная комиссия	Вечерина Мария Евгеньевна	Секретарь
ТИК № 21	Санкт-Петербургская избирательная комиссия	Висящева Галина Дементьевна	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Григорьевская Светлана Васильевна	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Егоров Вячеслав Юрьевич	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Ивакина Наталия Николаевна	Член
ТИК № 21	Санкт-Петербургская избирательная комиссия	Исаев Алексей Константинович	Член
